2.8292 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
44.5785 	EXP 	fixation: autoDraw = False
44.5785 	EXP 	grating: autoDraw = True
44.8783 	EXP 	grating: autoDraw = False
45.1812 	EXP 	New trial (rep=10, index=0): None
45.1825 	DATA 	Keypress: down
45.1949 	EXP 	fixation: autoDraw = False
45.1949 	EXP 	grating: autoDraw = False
45.1949 	EXP 	grating: ori = 0.0
45.1949 	EXP 	fixation: autoDraw = True
46.1948 	EXP 	fixation: autoDraw = False
46.1948 	EXP 	grating: autoDraw = True
46.4946 	EXP 	grating: autoDraw = False
46.9136 	EXP 	New trial (rep=11, index=0): None
46.9147 	DATA 	Keypress: down
46.9278 	EXP 	fixation: autoDraw = False
46.9278 	EXP 	grating: autoDraw = False
46.9278 	EXP 	grating: ori = 0.0
46.9278 	EXP 	fixation: autoDraw = True
47.9278 	EXP 	fixation: autoDraw = False
47.9278 	EXP 	grating: autoDraw = True
48.2277 	EXP 	grating: autoDraw = False
48.6637 	EXP 	New trial (rep=12, index=0): None
48.6649 	DATA 	Keypress: down
48.6774 	EXP 	fixation: autoDraw = False
48.6774 	EXP 	grating: autoDraw = False
48.6774 	EXP 	grating: ori = -4.0
48.6774 	EXP 	fixation: autoDraw = True
49.6772 	EXP 	fixation: autoDraw = False
49.6772 	EXP 	grating: autoDraw = True
49.9769 	EXP 	grating: autoDraw = False
50.2299 	EXP 	New trial (rep=13, index=0): None
50.2311 	DATA 	Keypress: down
50.2437 	EXP 	fixation: autoDraw = False
50.2437 	EXP 	grating: autoDraw = False
50.2437 	EXP 	grating: ori = 0.0
50.2437 	EXP 	fixation: autoDraw = True
51.2435 	EXP 	fixation: autoDraw = False
51.2435 	EXP 	grating: autoDraw = True
51.5434 	EXP 	grating: autoDraw = False
51.7629 	EXP 	New trial (rep=14, index=0): None
51.7642 	DATA 	Keypress: down
51.7767 	EXP 	fixation: autoDraw = False
51.7767 	EXP 	grating: autoDraw = False
51.7767 	EXP 	grating: ori = -1.0
51.7767 	EXP 	fixation: autoDraw = True
52.7765 	EXP 	fixation: autoDraw = False
52.7765 	EXP 	grating: autoDraw = True
53.0764 	EXP 	grating: autoDraw = False
53.2793 	EXP 	New trial (rep=15, index=0): None
53.2805 	DATA 	Keypress: down
53.2930 	EXP 	fixation: autoDraw = False
53.2930 	EXP 	grating: autoDraw = False
53.2930 	EXP 	grating: ori = 0.0
53.2930 	EXP 	fixation: autoDraw = True
54.2928 	EXP 	fixation: autoDraw = False
54.2928 	EXP 	grating: autoDraw = True
54.5926 	EXP 	grating: autoDraw = False
54.8123 	EXP 	New trial (rep=16, index=0): None
54.8136 	DATA 	Keypress: up
54.8259 	EXP 	fixation: autoDraw = False
54.8259 	EXP 	grating: autoDraw = False
54.8259 	EXP 	grating: ori = 1.0
54.8259 	EXP 	fixation: autoDraw = True
55.8257 	EXP 	fixation: autoDraw = False
55.8257 	EXP 	grating: autoDraw = True
56.1256 	EXP 	grating: autoDraw = False
56.6119 	EXP 	New trial (rep=17, index=0): None
56.6132 	DATA 	Keypress: up
56.6255 	EXP 	fixation: autoDraw = False
56.6255 	EXP 	grating: autoDraw = False
56.6255 	EXP 	grating: ori = 0.0
56.6255 	EXP 	fixation: autoDraw = True
57.6254 	EXP 	fixation: autoDraw = False
57.6254 	EXP 	grating: autoDraw = True
57.9253 	EXP 	grating: autoDraw = False
58.2280 	EXP 	New trial (rep=18, index=0): None
58.2292 	DATA 	Keypress: up
58.2418 	EXP 	fixation: autoDraw = False
58.2418 	EXP 	grating: autoDraw = False
